[2026-08-10 19:33:17] [INFO] Processed: frame_0082.png
[2026-08-10 19:33:17] [INFO] Processed: frame_0083.png
[2026-08-10 19:33:17] [INFO] Processed: frame_0084.png
[2026-08-10 19:33:17] [INFO] Processed: frame_0085.png
[2026-08-10 19:33:17] [INFO] Processed: frame_0086.png
[2026-08-10 19:33:17] [INFO] Processed: frame_0087.png
[2026-08-10 19:33:17] [INFO] Processed: frame_0088.png
[2026-08-10 19:33:17] [INFO] Processed: frame_0089.png
[2026-08-10 19:33:17] [INFO] Processed: frame_0090.png
[2026-08-10 19:33:17] [INFO] Processed: frame_0091.png
[2026-08-10 19:33:17] [INFO] Processed: frame_0092.png
[2026-08-10 19:33:17] [INFO] Processed: frame_0093.png
[2026-08-10 19:33:17] [INFO] Processed: frame_0094.png
[2026-08-10 19:33:17] [INFO] Processed: frame_0095.png
[2026-08-10 19:33:17] [INFO] Processed: frame_0096.png
[2026-08-10 19:33:17] [INFO] Processed: frame_0097.png
[2026-08-10 19:33:17] [INFO] Processed: frame_0098.png
[2026-08-10 19:33:17] [INFO] Processed: frame_0099.png
[2026-08-10 19:33:17] [INFO] Processed: frame_0100.png
[2026-08-10 19:33:17] [INFO] Processed: frame_0101.png
[2026-08-10 19:33:17] [INFO] Processed: frame_0102.png
[2026-08-10 19:33:17] [INFO] Processed: frame_0103.png
[2026-08-10 19:33:17] [INFO] Processed: frame_0104.png
[2026-08-10 19:33:17] [INFO] Processed: frame_0105.png
[2026-08-10 19:33:17] [INFO] Processed: frame_0106.png
[2026-08-10 19:33:17] [INFO] Processed: frame_0107.png
[2026-08-10 19:33:17] [INFO] Processed: frame_0108.png
[2026-08-10 19:33:17] [INFO] Processed: frame_0109.png
[2026-08-10 19:33:18] [INFO] Processed: frame_0110.png
[2026-08-10 19:33:18] [INFO] Processed: frame_0111.png
[2026-08-10 19:33:18] [INFO] Processed: frame_0112.png
[2026-08-10 19:33:18] [INFO] Processed: frame_0113.png
[2026-08-10 19:33:18] [INFO] Processed: frame_0114.png
[2026-08-10 19:33:18] [INFO] Processed: frame_0115.png
[2026-08-10 19:33:18] [INFO] Processed: frame_0116.png
[2026-08-10 19:33:18] [INFO] Processed: frame_0117.png
[2026-08-10 19:33:18] [INFO] Processed: frame_0118.png
[2026-08-10 19:33:18] [INFO] Processed: frame_0119.png
[2026-08-10 19:33:18] [INFO] Processed: frame_0120.png
[2026-08-10 19:33:18] [INFO] Processed: frame_0121.png
[2026-08-10 19:33:18] [INFO] Processed: frame_0122.png
[2026-08-10 19:33:18] [INFO] Processed: frame_0123.png
[2026-08-10 19:33:18] [INFO] Processed: frame_0124.png
[2026-08-10 19:33:18] [INFO] Processed: frame_0125.png
[2026-08-10 19:33:18] [INFO] Processed: frame_0126.png
[2026-08-10 19:33:18] [INFO] Processed: frame_0127.png
[2026-08-10 19:33:18] [INFO] Processed: frame_0128.png
[2026-08-10 19:33:18] [INFO] Processed: frame_0129.png
[2026-08-10 19:33:18] [INFO] Processed: frame_0130.png
[2026-08-10 19:33:18] [INFO] Processed: frame_0131.png
[2026-08-10 19:33:18] [INFO] Processed: frame_0132.png
[2026-08-10 19:33:18] [INFO] Processed: frame_0133.png
[2026-08-10 19:33:18] [INFO] Processed: frame_0134.png
[2026-08-10 19:33:18] [INFO] Processed: frame_0135.png
[2026-08-10 19:33:18] [INFO] Processed: frame_0136.png
[2026-08-10 19:33:18] [INFO] Processed: frame_0137.png
[2026-08-10 19:33:18] [INFO] Processed: frame_0138.png
[2026-08-10 19:33:19] [INFO] Processed: frame_0139.png
[2026-08-10 19:33:19] [INFO] Processed: frame_0140.png
[2026-08-10 19:33:19] [INFO] Processed: frame_0141.png
[2026-08-10 19:33:19] [INFO] Processed: frame_0142.png
[2026-08-10 19:33:19] [INFO] Processed: frame_0143.png
[2026-08-10 19:33:19] [INFO] Processed: frame_0144.png
[2026-08-10 19:33:19] [INFO] Processed: frame_0145.png
[2026-08-10 19:33:19] [INFO] Processed: frame_0146.png
[2026-08-10 19:33:19] [INFO] Processed: frame_0147.png
[2026-08-10 19:33:19] [INFO] Processed: frame_0148.png
[2026-08-10 19:33:19] [INFO] Processed: frame_0149.png
[2026-08-10 19:33:19] [INFO] Processed: frame_0150.png
[2026-08-10 19:33:19] [INFO] Processed: frame_0151.png
[2026-08-10 19:33:19] [INFO] Processed: frame_0152.png
[2026-08-10 19:33:19] [INFO] Processed: frame_0153.png
[2026-08-10 19:33:19] [INFO] Processed: frame_0154.png
[2026-08-10 19:33:19] [INFO] Processed: frame_0155.png
[2026-08-10 19:33:19] [INFO] Inference output saved: 155 image(s) to C:\AI_ML_Fellowship\Project2\Images\06_Inference_Output\images
[2026-08-10 19:33:19] [INFO] Predicted masks saved to C:\AI_ML_Fellowship\Project2\Images\06_Inference_Output\masks
[2026-08-10 19:33:19] [INFO] Total inference time: 5.4s (0.035s/frame average)
[2026-08-10 19:33:19] [INFO] Script completed successfully.
[2026-08-10 19:33:19] [INFO] ============================================
[2026-08-10 19:37:01] [INFO] ============================================
[2026-08-10 19:37:01] [INFO] Script started.
[2026-08-10 19:37:01] [INFO] Script name: 09_run_trained_model.py
[2026-08-10 19:37:01] [INFO] Project: AIML-Driven Super-Resolution and Volumetric Reconstruction for Mixing Tanks
[2026-08-10 19:37:01] [INFO] Script folder: C:\AI_ML_Fellowship\Project2\Scripts
[2026-08-10 19:37:01] [INFO] Model path: C:\AI_ML_Fellowship\Project2\Scripts\results\run_model.pt
[2026-08-10 19:37:01] [INFO] Input folder: C:\AI_ML_Fellowship\Project2\Images\02_Frames
[2026-08-10 19:37:01] [INFO] Output folder: C:\AI_ML_Fellowship\Project2\Images\06_Inference_Output
[2026-08-10 19:37:01] [INFO] Threshold: 0.5
[2026-08-10 19:37:01] [INFO] No ground-truth masks folder provided - pure inference only, no accuracy scoring.
[2026-08-10 19:37:01] [INFO] Logs folder: C:\AI_ML_Fellowship\Project2\Scripts\Logs
[2026-08-10 19:37:01] [INFO] Log file: C:\AI_ML_Fellowship\Project2\Scripts\Logs\aiml_09_run_trained_model_transparent.log
[2026-08-10 19:37:01] [INFO] Inference device: cpu
[2026-08-10 19:37:01] [INFO] Model loaded successfully from C:\AI_ML_Fellowship\Project2\Scripts\results\run_model.pt
[2026-08-10 19:37:01] [INFO] Found 155 PNG file(s) to run inference on.
[2026-08-10 19:37:01] [INFO] Processed: frame_0001.png
[2026-08-10 19:37:01] [INFO] Processed: frame_0002.png
[2026-08-10 19:37:01] [INFO] Processed: frame_0003.png
[2026-08-10 19:37:01] [INFO] Processed: frame_0004.png
[2026-08-10 19:37:01] [INFO] Processed: frame_0005.png
[2026-08-10 19:37:01] [INFO] Processed: frame_0006.png
[2026-08-10 19:37:01] [INFO] Processed: frame_0007.png
[2026-08-10 19:37:01] [INFO] Processed: frame_0008.png
[2026-08-10 19:37:01] [INFO] Processed: frame_0009.png
[2026-08-10 19:37:01] [INFO] Processed: frame_0010.png
